Program Version:,EnergyPlus, Version 9.6.0-f420c06a69, YMD=2022.04.05 12:35
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ5B+gasfurnace+slab+IECC_2021
Environment:,ANNUAL ** Denver Centennial  Golden   Nr CO USA TMY3 WMO#=724666

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over        24.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,149.95,0.45,0.68
,Net Site Energy,149.95,0.45,0.68
,Total Source Energy,222.74,0.67,1.01
,Net Source Energy,222.74,0.67,1.01


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,331.23
,Net Conditioned Building Area,220.82
,Unconditioned Building Area,110.41


End Uses

,,Electricity [kWh],Natural Gas [kWh],Gasoline [kWh],Diesel [kWh],Coal [kWh],Fuel Oil No 1 [kWh],Fuel Oil No 2 [kWh],Propane [kWh],Other Fuel 1 [kWh],Other Fuel 2 [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,0.00,100.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,2.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,19.32,9.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,6.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,10.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,28.90,121.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Gasoline [kWh],Diesel [kWh],Coal [kWh],Fuel Oil No 1 [kWh],Fuel Oil No 2 [kWh],Propane [kWh],Other Fuel 1 [kWh],Other Fuel 2 [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,,Coil Type,Coil Location,HVAC Type,HVAC Name,Zone Name(s),System Sizing Method Concurrence,System Sizing Method Capacity,System Sizing Method Air Flow,Autosized Coil Capacity?,Autosized Coil Airflow?,Autosized Coil Water Flow?,OA Pretreated prior to coil inlet?,Coil Final Gross Total Capacity [W],Coil Final Gross Sensible Capacity [W],Coil Final Reference Air Volume Flow Rate [m3/s],Coil Final Reference Plant Fluid Volume Flow Rate [m3/s],Coil U-value Times Area Value [W/K],Terminal Unit Reheat Coil Multiplier,DX Coil Capacity Increase Ratio from Too Low Flow/Capacity Ratio,DX Coil Capacity Decrease Ratio from Too High Flow/Capacity Ratio,Moist Air Heat Capacity [J/kg-K],Dry Air Heat Capacity [J/kg-K],Standard Air Density Adjusted for Elevation [kg/m3],Supply Fan Name for Coil,Supply Fan Type for Coil,Supply Fan Maximum Air Volume Flow Rate [m3/s],Supply Fan Maximum Air Mass Flow Rate [kg/s],Plant Name for Coil,Plant Fluid Specific Heat Capacity [J/kg-K],Plant Fluid Density [kg/m3],Plant Maximum Fluid Mass Flow Rate [kg/s],Plant Design Fluid Return Temperature [C],Plant Design Fluid Supply Temperature [C],Plant Design Fluid Temperature Difference [deltaC],Plant Design Capacity [W],Coil Capacity Percentage of Plant Design Capacity [%],Coil Fluid Flow Rate Percentage of Plant Design Flow Rate [%],Design Day Name at Sensible Ideal Loads Peak,Date/Time at Sensible Ideal Loads Peak,Design Day Name at Total Ideal Loads Peak,Date/Time at Total Ideal Loads Peak,Design Day Name at Air Flow Ideal Loads Peak,Date/Time at Air Flow Ideal Loads Peak,Peak Load Type to Size On,Coil Total Capacity at Ideal Loads Peak [W],Coil Sensible Capacity at Ideal Loads Peak [W],Coil Off-Rating Capacity Modifier at Ideal Loads Peak [ ],Coil Air Mass Flow Rate at Ideal Loads Peak [kg/s],Coil Air Volume Flow Rate at Ideal Loads Peak [m3/s],Coil Entering Air Drybulb at Ideal Loads Peak [C],Coil Entering Air Wetbulb at Ideal Loads Peak [C],Coil Entering Air Humidity Ratio at Ideal Loads Peak [kgWater/kgDryAir],Coil Entering Air Enthalpy at Ideal Loads Peak [J/KG-K],Coil Leaving Air Drybulb at Ideal Loads Peak [C],Coil Leaving Air Wetbulb at Ideal Loads Peak [C],Coil Leaving Air Humidity Ratio at Ideal Loads Peak [kgWater/kgDryAir],Coil Leaving Air Enthalpy at Ideal Loads Peak [J/KG-K],Coil Plant Fluid Mass Flow Rate at Ideal Loads Peak [kg/s],Coil Entering Plant Fluid Temperature at Ideal Loads Peak [C],Coil Leaving Plant Fluid Temperature at Ideal Loads Peak [C],Coil Plant Fluid Temperature Difference at Ideal Loads Peak [deltaC],Supply Fan Air Heat Gain at Ideal Loads Peak [W],Coil and Fan Net Total Capacity at Ideal Loads Peak [W],Outdoor Air Drybulb at Ideal Loads Peak [C],Outdoor Air Humidity Ratio at Ideal Loads Peak [kgWater/kgDryAir],Outdoor Air Wetbulb at Ideal Loads Peak [C],Outdoor Air Volume Flow Rate at Ideal Loads Peak [m3/s],Outdoor Air Flow Percentage at Ideal Loads Peak [%],System Return Air Drybulb at Ideal Loads Peak [C],System Return Air Humidity Ratio at Ideal Loads Peak [kgWater/kgDryAir],Zone Air Drybulb at Ideal Loads Peak [C],Zone Air Humidity Ratio at Ideal Loads Peak [kgWater/kgDryAir],Zone Air Relative Humidity at Ideal Loads Peak [%],Zone Sensible Heat Gain at Ideal Loads Peak [W],Zone Latent Heat Gain at Ideal Loads Peak [W],Coil Total Capacity at Rating Conditions [W],Coil Sensible Capacity at Rating Conditions [W],Coil Air Mass Flow Rate at Rating Conditions [kg/s],Coil Entering Air Drybulb at Rating Conditions [C],Coil Entering Air Wetbulb at Rating Conditions [C],Coil Entering Air Humidity Ratio at Rating Conditions [kgWater/kgDryAir],Coil Entering Air Enthalpy at Rating Conditions [J/KG-K],Coil Leaving Air Drybulb at Rating Conditions [C],Coil Leaving Air Wetbulb at Rating Conditions [C],Coil Leaving Air Humidity Ratio at Rating Conditions [kgWater/kgDryAir],Coil Leaving Air Enthalpy at Rating Conditions [J/KG-K]
,DX COOLING COIL_UNIT1,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,LIVING_UNIT1,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,7143.309,5719.328,0.431527,-999.0,-999.000,-999.0000,1.20050,1.00000,1019.5269,1004.8586,0.9651,SUPPLY FAN_UNIT1,Fan:OnOff,0.431527,0.41645904,,-999.0000,-999.0000,-999.0,-999.00,-999.00,-999.00,-999.00,-999.0000,-999.0,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 17:45:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 17:45:00,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 17:45:00,Sensible,6668.76,6668.76,0.9336,0.41645904,0.431527,25.42,14.10,0.00790063,45670.5,12.00,9.21,0.00790063,31993.3,-999.0,-999.00,-999.00,-999.00,457.854,6210.91,30.72,0.00547038,13.89,0.02831685,6.5620,23.89,0.00807131,23.89,0.00807131,35.0794,5048.79,0.00,7146.29,5129.95,0.40001206,26.67,19.44,0.01118466,55322.4,14.12,13.33,0.00920831,37457.2
,MAIN FUEL HEATING COIL_UNIT1,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,LIVING_UNIT1,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,6544.786,6544.786,-999.0,-999.0,-999.000,-999.0000,1.00000,1.00000,1019.7116,1004.8586,0.9651,SUPPLY FAN_UNIT1,Fan:OnOff,0.431527,0.41645904,,-999.0000,-999.0000,-999.0,-999.00,-999.00,-999.00,-999.00,-999.0000,-999.0,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 14:15:00,unknown,unknown,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 14:15:00,Sensible,6544.79,6544.79,1.0000,0.41645904,0.431527,19.58,10.85,0.00652947,36246.6,50.00,21.25,0.00800000,70993.1,-999.0,-999.00,-999.00,-999.00,0.000,6544.79,-17.90,0.00095524,-17.93,0.02831685,6.5620,22.22,0.00692094,22.22,0.00692094,33.3430,5523.60,0.00,-999.00,-999.00,-999.0,-999.00,-999.00,-999.0,-999.0,-999.00,-999.00,-999.0,-999.0


----------------------------------------------------------------------------------------------------
REPORT:,System Summary
FOR:,Entire Facility
Economizer

,,High Limit Shutoff Control,Minimum Outdoor Air [m3/s],Maximum Outdoor Air [m3/s],Return Air Temp Limit,Return Air Enthalpy Limit,Outdoor Air Temperature Limit [C],Outdoor Air Enthalpy Limit [C]
,None,,,,,,,


Demand Controlled Ventilation using Controller:MechanicalVentilation

,,Controller:MechanicalVentilation Name,Outdoor Air Per Person [m3/s-person],Outdoor Air Per Area [m3/s-m2],Outdoor Air Per Zone [m3/s],Outdoor Air ACH [ach],Outdoor Air Method,Outdoor Air Schedule Name,Air Distribution Effectiveness in Cooling Mode,Air Distribution Effectiveness in Heating Mode,Air Distribution Effectiveness Schedule Name
,None,,,,,,,,,,


Time Not Comfortable Based on Simple ASHRAE 55-2004

,,Winter Clothes [hr],Summer Clothes [hr],Summer or Winter Clothes [hr]
,LIVING_UNIT1,6.75,24.00,6.75
,ATTIC_UNIT1,0.00,0.00,0.00
,Facility,6.75,24.00,6.75
Aggregated over the RunPeriods for Weather


Time Setpoint Not Met

,,During Heating [hr],During Cooling [hr],During Occupied Heating [hr],During Occupied Cooling [hr]
,LIVING_UNIT1,0.00,0.00,0.00,0.00
,ATTIC_UNIT1,0.00,0.00,0.00,0.00
,Facility,0.00,0.00,0.00,0.00
Aggregated over the RunPeriods for Weather


----------------------------------------------------------------------------------------------------
REPORT:,Outdoor Air Summary
FOR:,Entire Facility
Average Outdoor Air During Occupied Hours

,,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [m3],Mechanical Ventilation [ach],Infiltration [ach],AFN Infiltration [ach],Simple Ventilation [ach]
,LIVING_UNIT1,2.07,3.00,482.75,0.211,0.000,0.236,0.000
Values shown for a single zone without multipliers


Minimum Outdoor Air During Occupied Hours

,,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [m3],Mechanical Ventilation [ach],Infiltration [ach],AFN Infiltration [ach],Simple Ventilation [ach]
,LIVING_UNIT1,2.07,3.00,482.75,0.205,0.000,0.007,0.000
Values shown for a single zone without multipliers


----------------------------------------------------------------------------------------------------
REPORT:,Outdoor Air Details
FOR:,Entire Facility
Mechanical Ventilation Parameters by Zone

,,AirLoop Name,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [m3],Zone Area [m2],Design Zone Outdoor Airflow - Voz [m3/s],Minimum Dynamic Target Ventilation - Voz-dyn-min [m3/s]
,LIVING_UNIT1,CENTRAL SYSTEM_UNIT1,2.07,3.00,482.75,220.82,0.0000,0.000
,Total Facility,,2.07,3.00,482.75,220.82,0.0000,0.000


Total Outdoor Air by Zone

,,Mechanical Ventilation [m3],Natural Ventilation [m3],Total Ventilation [m3],Infiltration [m3],Total Ventilation and Infiltration [m3],Dynamic Target Ventilation - Voz-dyn [m3],Time Below Voz-dyn [hr],Time At Voz-dyn [hr],Time Above Voz-dyn [hr],Time Above Zero When Unoccupied [hr]
,LIVING_UNIT1,7339.73,0.00,7339.73,8266.64,15606.37,7339.73,0.00,72.00,0.00,0.00
,Total Facility,7339.73,0.00,7339.73,8266.64,15606.37,7339.73,0.00,72.00,0.00,0.00


Average Outdoor Air During Occupancy by Zone - Flow Rates

,,Mechanical Ventilation [m3/s],Natural Ventilation [m3/s],Total Ventilation [m3/s],Infiltration [m3/s],Total Ventilation and Infiltration [m3/s],Dynamic Target Ventilation - Voz-dyn [m3/s],Time Below Voz-dyn [hr],Time At Voz-dyn [hr],Time Above Voz-dyn [hr]
,LIVING_UNIT1,0.0283,0.0000,0.0283,0.0319,0.0602,0.0283,0.00,72.00,0.00
,Total Facility,0.0283,0.0000,0.0283,0.0319,0.0602,0.0283,0.00,72.00,0.00


Total Outdoor Air by AirLoop

,,Mechanical Ventilation [m3],Natural Ventilation [m3/s],Total Ventilation [m3/s],Sum Zone Dynamic Target Ventilation - Voz-sum-dyn [m3],Time Below Voz-sum-dyn [hr],Time At Voz-sum-dyn [hr],Time Above Voz-sum-dyn [hr],Time Above Zero When Unoccupied [hr]
,CENTRAL SYSTEM_UNIT1,0.00,0.00,0.00,7339.73,72.00,0.00,0.00,0.00


Average Outdoor Air During Occupancy by AirLoop

,,Mechanical Ventilation [m3/s],Natural Ventilation [m3/s],Total Ventilation [m3/s],Sum Zone Dynamic Target Ventilation - Voz-sum-dyn [m3/s],Time Below Voz-sum-dyn [hr],Time At Voz-sum-dyn [hr],Time Above Voz-sum-dyn [hr]
,CENTRAL SYSTEM_UNIT1,0.0000,0.0000,0.0000,0.0283,72.00,0.00,0.00


Outdoor Air Controller Limiting Factors by AirLoop

,,No Limiting Factor [hr],Limits and Scheduled Limits [hr],Economizer [hr],Exhaust Flow [hr],Mixed Air Flow [hr],High Humidity [hr],Demand Controlled Ventilation [hr],Night Ventilation [hr],Demand Limiting [hr],Energy Management System [hr]
,CENTRAL SYSTEM_UNIT1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Average Outdoor Air for Limiting Factors During Occupancy

,,No Limiting Factor [m3/s],Limits and Scheduled Limits [m3/s],Economizer [m3/s],Exhaust Flow [m3/s],Mixed Air Flow [m3/s],High Humidity [m3/s],Demand Controlled Ventilation [m3/s],Night Ventilation [m3/s],Demand Limiting [m3/s],Energy Management System [m3/s]
,CENTRAL SYSTEM_UNIT1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000


----------------------------------------------------------------------------------------------------
REPORT:,Object Count Summary
FOR:,Entire Facility
Surfaces by Class

,,Total,Outdoors
,Wall,10,10
,Floor,3,0
,Roof,3,2
,Internal Mass,1,0
,Building Detached Shading,0,0
,Fixed Detached Shading,0,0
,Window,8,8
,Door,1,1
,Glass Door,0,0
,Shading,4,4
,Overhang,2,2
,Fin,0,0
,Tubular Daylighting Device Dome,0,0
,Tubular Daylighting Device Diffuser,0,0


HVAC

,,Count
,HVAC Air Loops,1
,Conditioned Zones,1
,Unconditioned Zones,1
,Supply Plenums,0
,Return Plenums,0


Input Fields

,,Count
,IDF Objects,440
,Defaulted Fields,332
,Fields with Defaults,1724
,Autosized Fields,19
,Autosizable Fields,33
,Autocalculated Fields,18
,Autocalculatable Fields,38


----------------------------------------------------------------------------------------------------
REPORT:,Energy Meters
FOR:,Entire Facility
Annual and Peak Values - Electricity

,,Electricity Annual Value [kWh],Electricity Minimum Value [W],Timestamp of Minimum {TIMESTAMP},Electricity Maximum Value [W],Timestamp of Maximum {TIMESTAMP}
,Electricity:Facility,28.90,829.07,01-JAN-10:45,1876.41,01-JAN-20:15
,Electricity:Building,22.16,646.18,01-JAN-03:15,1511.38,01-JAN-20:15
,Electricity:Zone:LIVING_UNIT1,22.16,646.18,01-JAN-03:15,1511.38,01-JAN-20:15
,Electricity:SpaceType:GENERAL,22.16,646.18,01-JAN-03:15,1511.38,01-JAN-20:15
,InteriorLights:Electricity,2.84,23.24,01-JAN-00:15,337.99,01-JAN-19:15
,InteriorLights:Electricity:Zone:LIVING_UNIT1,2.84,23.24,01-JAN-00:15,337.99,01-JAN-19:15
,InteriorLights:Electricity:SpaceType:GENERAL,2.84,23.24,01-JAN-00:15,337.99,01-JAN-19:15
,General:InteriorLights:Electricity,2.84,23.24,01-JAN-00:15,337.99,01-JAN-19:15
,General:InteriorLights:Electricity:Zone:LIVING_UNIT1,2.84,23.24,01-JAN-00:15,337.99,01-JAN-19:15
,General:InteriorLights:Electricity:SpaceType:GENERAL,2.84,23.24,01-JAN-00:15,337.99,01-JAN-19:15
,InteriorEquipment:Electricity,19.32,602.64,01-JAN-04:15,1173.39,01-JAN-20:15
,InteriorEquipment:Electricity:Zone:LIVING_UNIT1,19.32,602.64,01-JAN-04:15,1173.39,01-JAN-20:15
,InteriorEquipment:Electricity:SpaceType:GENERAL,19.32,602.64,01-JAN-04:15,1173.39,01-JAN-20:15
,dishwasher:InteriorEquipment:Electricity,0.53,1.81,01-JAN-03:15,58.93,01-JAN-19:15
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.53,1.81,01-JAN-03:15,58.93,01-JAN-19:15
,dishwasher:InteriorEquipment:Electricity:SpaceType:GENERAL,0.53,1.81,01-JAN-03:15,58.93,01-JAN-19:15
,refrigerator:InteriorEquipment:Electricity,1.83,66.60,01-JAN-04:15,91.06,01-JAN-18:15
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,1.83,66.60,01-JAN-04:15,91.06,01-JAN-18:15
,refrigerator:InteriorEquipment:Electricity:SpaceType:GENERAL,1.83,66.60,01-JAN-04:15,91.06,01-JAN-18:15
,clotheswasher:InteriorEquipment:Electricity,0.30,1.11,01-JAN-02:15,25.55,01-JAN-09:15
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.30,1.11,01-JAN-02:15,25.55,01-JAN-09:15
,clotheswasher:InteriorEquipment:Electricity:SpaceType:GENERAL,0.30,1.11,01-JAN-02:15,25.55,01-JAN-09:15
,gas_dryer:InteriorEquipment:Electricity,0.24,0.47,01-JAN-03:15,19.42,01-JAN-11:15
,gas_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.24,0.47,01-JAN-03:15,19.42,01-JAN-11:15
,gas_dryer:InteriorEquipment:Electricity:SpaceType:GENERAL,0.24,0.47,01-JAN-03:15,19.42,01-JAN-11:15
,gas_range:InteriorEquipment:Electricity,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,gas_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,gas_range:InteriorEquipment:Electricity:SpaceType:GENERAL,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,television:InteriorEquipment:Electricity,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,television:InteriorEquipment:Electricity:SpaceType:GENERAL,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,gas_mels:InteriorEquipment:Electricity,8.22,262.21,01-JAN-09:15,507.15,01-JAN-20:15
,gas_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,8.22,262.21,01-JAN-09:15,507.15,01-JAN-20:15
,gas_mels:InteriorEquipment:Electricity:SpaceType:GENERAL,8.22,262.21,01-JAN-09:15,507.15,01-JAN-20:15
,IECC_adj:InteriorEquipment:Electricity,8.19,261.30,01-JAN-09:15,505.40,01-JAN-20:15
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,8.19,261.30,01-JAN-09:15,505.40,01-JAN-20:15
,IECC_adj:InteriorEquipment:Electricity:SpaceType:GENERAL,8.19,261.30,01-JAN-09:15,505.40,01-JAN-20:15
,Fans:Electricity,6.16,102.34,01-JAN-10:45,425.40,01-JAN-24:00
,Fans:Electricity:Zone:LIVING_UNIT1,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,Ventilation (simple):Fans:Electricity,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT1,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,Electricity:HVAC,6.16,102.34,01-JAN-10:45,425.40,01-JAN-24:00
,General:Fans:Electricity,5.64,80.91,01-JAN-10:45,403.98,01-JAN-24:00
,Ventilation:Fans:Electricity,0.51,21.43,01-JAN-00:15,21.43,01-JAN-00:15
,ElectricityPurchased:Facility,28.90,829.07,01-JAN-10:45,1876.41,01-JAN-20:15
,ElectricityPurchased:Plant,28.90,829.07,01-JAN-10:45,1876.41,01-JAN-20:15
,Cogeneration:ElectricityPurchased,28.90,829.07,01-JAN-10:45,1876.41,01-JAN-20:15
,General:Cogeneration:ElectricityPurchased,28.90,829.07,01-JAN-10:45,1876.41,01-JAN-20:15
,ElectricitySurplusSold:Facility,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,ElectricitySurplusSold:Plant,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,Cogeneration:ElectricitySurplusSold,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,General:Cogeneration:ElectricitySurplusSold,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,ElectricityNet:Facility,28.90,829.07,01-JAN-10:45,1876.41,01-JAN-20:15
,ElectricityNet:Plant,28.90,829.07,01-JAN-10:45,1876.41,01-JAN-20:15
,Cogeneration:ElectricityNet,28.90,829.07,01-JAN-10:45,1876.41,01-JAN-20:15
,General:Cogeneration:ElectricityNet,28.90,829.07,01-JAN-10:45,1876.41,01-JAN-20:15
,HeatRecovery:Electricity,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,General:HeatRecovery:Electricity,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,ExteriorLights:Electricity,0.58,0.92,01-JAN-09:15,50.41,01-JAN-19:15
,Exterior-Lights:ExteriorLights:Electricity,0.52,0.00,01-JAN-06:15,43.24,01-JAN-00:15
,Garage-Lights:ExteriorLights:Electricity,0.06,0.49,01-JAN-00:15,7.16,01-JAN-19:15
,Heating:Electricity,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,General:Heating:Electricity,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,Cooling:Electricity,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,General:Cooling:Electricity,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,Electricity:Plant,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,Pumps:Electricity,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15
,General:Pumps:Electricity,0.00,0.00,01-JAN-00:15,0.00,01-JAN-00:15


Annual and Peak Values - Natural Gas

,,Natural Gas Annual Value [kWh],Natural Gas Minimum Value [W],Timestamp of Minimum {TIMESTAMP},Natural Gas Maximum Value [W],Timestamp of Maximum {TIMESTAMP}
,NaturalGas:Facility,121.05,2694.97,01-JAN-10:45,7670.20,01-JAN-24:00
,NaturalGas:Building,9.47,55.70,01-JAN-03:15,858.04,01-JAN-17:15
,NaturalGas:Zone:LIVING_UNIT1,9.47,55.70,01-JAN-03:15,858.04,01-JAN-17:15
,NaturalGas:SpaceType:GENERAL,9.47,55.70,01-JAN-03:15,858.04,01-JAN-17:15
,InteriorEquipment:NaturalGas,9.47,55.70,01-JAN-03:15,858.04,01-JAN-17:15
,InteriorEquipment:NaturalGas:Zone:LIVING_UNIT1,9.47,55.70,01-JAN-03:15,858.04,01-JAN-17:15
,InteriorEquipment:NaturalGas:SpaceType:GENERAL,9.47,55.70,01-JAN-03:15,858.04,01-JAN-17:15
,gas_dryer:InteriorEquipment:NaturalGas,4.87,9.65,01-JAN-03:15,395.60,01-JAN-11:15
,gas_dryer:InteriorEquipment:NaturalGas:Zone:LIVING_UNIT1,4.87,9.65,01-JAN-03:15,395.60,01-JAN-11:15
,gas_dryer:InteriorEquipment:NaturalGas:SpaceType:GENERAL,4.87,9.65,01-JAN-03:15,395.60,01-JAN-11:15
,gas_range:InteriorEquipment:NaturalGas,3.61,12.74,01-JAN-02:15,540.94,01-JAN-17:15
,gas_range:InteriorEquipment:NaturalGas:Zone:LIVING_UNIT1,3.61,12.74,01-JAN-02:15,540.94,01-JAN-17:15
,gas_range:InteriorEquipment:NaturalGas:SpaceType:GENERAL,3.61,12.74,01-JAN-02:15,540.94,01-JAN-17:15
,gas_mels:InteriorEquipment:NaturalGas,0.99,31.60,01-JAN-09:15,61.13,01-JAN-20:15
,gas_mels:InteriorEquipment:NaturalGas:Zone:LIVING_UNIT1,0.99,31.60,01-JAN-09:15,61.13,01-JAN-20:15
,gas_mels:InteriorEquipment:NaturalGas:SpaceType:GENERAL,0.99,31.60,01-JAN-09:15,61.13,01-JAN-20:15
,NaturalGas:HVAC,100.86,1445.76,01-JAN-10:45,7218.27,01-JAN-24:00
,Heating:NaturalGas,100.86,1445.76,01-JAN-10:45,7218.27,01-JAN-24:00
,General:Heating:NaturalGas,100.86,1445.76,01-JAN-10:45,7218.27,01-JAN-24:00
,NaturalGas:Plant,10.72,42.72,01-JAN-03:00,814.00,01-JAN-08:15
,WaterSystems:NaturalGas,10.72,42.72,01-JAN-03:00,814.00,01-JAN-08:15
,Water Heater:WaterSystems:NaturalGas,10.72,42.72,01-JAN-03:00,814.00,01-JAN-08:15


Annual and Peak Values - Cooling

,,Cooling Annual Value [kWh],Cooling Minimum Value [W],Timestamp of Minimum {TIMESTAMP},Cooling Maximum Value [W],Timestamp of Maximum {TIMESTAMP}
,None,,,,,


Annual and Peak Values - Water

,,Annual Value [m3],Minimum Value [m3/s],Timestamp of Minimum {TIMESTAMP},Maximum Value [m3/s],Timestamp of Maximum {TIMESTAMP}
,Water:Facility,0.25,0.00,01-JAN-02:15,0.00,01-JAN-08:15
,Water:Plant,0.25,0.00,01-JAN-02:15,0.00,01-JAN-08:15
,WaterSystems:Water,0.25,0.00,01-JAN-02:15,0.00,01-JAN-08:15
,Domestic Hot Water:WaterSystems:Water,0.25,0.00,01-JAN-02:15,0.00,01-JAN-08:15
,MainsWater:Facility,0.25,0.00,01-JAN-02:15,0.00,01-JAN-08:15
,MainsWater:Plant,0.25,0.00,01-JAN-02:15,0.00,01-JAN-08:15
